date,Desktop,Mobile
1 Aug 2022,2262,2007.3
1 Jul 2022,2314.4,2040.4
1 Jun 2022,2317.8,2022.5
1 May 2022,2301.6,2003.2
1 Apr 2022,2203.8,2010.6
1 Mar 2022,2165.5,1974.1
1 Feb 2022,2159,1984.1
1 Jan 2022,2174.1,1957.6
1 Dec 2021,2173,1935.2
1 Nov 2021,2173.3,1940.4
1 Oct 2021,2204.8,1950.9
1 Sept 2021,2198.4,1941.5
1 Aug 2021,2174.2,1925.9
1 Jul 2021,2148.7,1920.1
1 Jun 2021,2124.1,1914
1 May 2021,2123.6,1917.4
1 Apr 2021,2096.8,1896.2
1 Mar 2021,2063,1900.1
1 Feb 2021,2037.7,1875.8
1 Jan 2021,2038.4,1879.3
1 Dec 2020,2042.3,1891.2
1 Nov 2020,2020.3,1876.3
1 Oct 2020,2062.4,1891.6
1 Sept 2020,2105.3,1930.7
1 Aug 2020,2098.8,1917.5
1 Jul 2020,2059,1916.8
1 Jun 2020,2000,1852
1 May 2020,2007.9,1851.9
1 Apr 2020,2031.9,1864.2
1 Mar 2020,2080.2,1885.3
1 Feb 2020,1957.9,1791.8
1 Jan 2020,1969.6,1770.4
1 Dec 2019,1980.9,1790.9
1 Nov 2019,1965.7,1779
1 Oct 2019,1950.3,1751.9
1 Sept 2019,1939.7,1745.1
1 Aug 2019,1946.8,1749.3
1 Jul 2019,1936.8,1747.3
1 Jun 2019,1905.3,1696
1 May 2019,1896.8,1683.5
1 Mar 2019,1828.2,1682.3
1 Feb 2019,1861.9,1669
1 Jan 2019,1836.8,1672.1
15 Dec 2018,1848,1669.3
1 Dec 2018,1584.8,1285.5
15 Nov 2018,1627.4,1288.3
1 Nov 2018,1588,1303.7
15 Oct 2018,1533.5,1299.9
1 Oct 2018,1540.8,1269.3
15 Sept 2018,1544.6,1273.3
1 Sept 2018,1525.6,1270.3
15 Aug 2018,1517.7,1257.4
1 Aug 2018,1511.2,1271.9
15 Jul 2018,1512.5,1253.9
1 Jul 2018,1502.5,1248.2
15 Jun 2018,1709.4,1568.2
1 Jun 2018,1702.3,1565.8
15 May 2018,1719.9,1569.3
1 May 2018,1736.6,1561.5
15 Apr 2018,1731,1553.9
15 Mar 2018,1712.9,1560.4
1 Mar 2018,1698.4,1545.5
15 Feb 2018,1699,1532.3
1 Feb 2018,1786,1524.1
15 Jan 2018,1776.2,1575
1 Jan 2018,1772.3,1574.2
15 Dec 2017,1794.8,1569.3
1 Dec 2017,1695.3,1587.9
15 Nov 2017,1681.7,1523.8
1 Nov 2017,1676.2,1514.6
15 Oct 2017,1654.7,1508.4
1 Oct 2017,1665.7,1496.3
15 Sept 2017,1661.7,1495.6
1 Sept 2017,1655.2,1499
15 Aug 2017,1652,1491.1
1 Aug 2017,1639.3,1485.3
15 Jul 2017,1420.8,1475.2
1 Jul 2017,1412.1,1270
15 Jun 2017,1392.2,1255.6
1 Jun 2017,1382.2,1242
15 May 2017,1376.2,1229.5
1 May 2017,1354.8,1223.7
15 Apr 2017,1562,1204.8
1 Apr 2017,1559.9,1387.8
15 Mar 2017,1559.2,1381.2
1 Mar 2017,1532.3,1372.7
15 Feb 2017,1485.3,1354.6
1 Feb 2017,1479.6,1322.4
15 Dec 2016,1502.3,1334.3
15 Nov 2016,1509.4,1306.7
1 Nov 2016,1505.8,1301.6
15 Oct 2016,1515.4,1323.3
1 Oct 2016,1524.4,1348.3
15 Sept 2016,1490.8,1344.5
1 Sept 2016,1495,1327.2
15 Aug 2016,1493.1,1322.7
1 Aug 2016,1493.4,1220.6
15 Jul 2016,1478.3,1215.3
1 Jul 2016,1467,1209.7
15 Jun 2016,1451.1,1209.1
1 Jun 2016,1463.7,1207
15 May 2016,1469.6,1202.4
1 May 2016,1480.1,1144.5
15 Apr 2016,1469.3,1141.4
1 Apr 2016,1479,1146.8
15 Mar 2016,1481.3,942.6
1 Mar 2016,1477.7,940.1
15 Feb 2016,1465.9,955.8
1 Feb 2016,1453.6,960.3
15 Jan 2016,1441.5,940.9
1 Jan 2016,1448.6,940.5
15 Dec 2015,1466.4,910.2
1 Dec 2015,1440.5,905.3
15 Nov 2015,1432.5,921.4
1 Nov 2015,1416.2,893.4
15 Oct 2015,1410.4,887.4
1 Oct 2015,1273.5,880.1
15 Sept 2015,1399.8,879.1
1 Sept 2015,1393,869.6
15 Aug 2015,1398.5,864.8
1 Aug 2015,1389.6,852.8
15 Jul 2015,1386,857.7
1 Jul 2015,1363.3,856.8
15 Jun 2015,1349.3,845
1 Jun 2015,1333.6,846
15 May 2015,1328.3,817.9
1 May 2015,1312.2,816.3
15 Apr 2015,1308,806
1 Apr 2015,1249.4,806.9
15 Mar 2015,1246.5,811.7
1 Mar 2015,1276.7,813.4
15 Feb 2015,1272.4,806.5
1 Feb 2015,1259.5,818.1
15 Jan 2015,1239.4,791.3
1 Jan 2015,1233.5,768.4
15 Dec 2014,1249.4,765.1
1 Dec 2014,1232.8,750.2
15 Nov 2014,1228.9,753.8
1 Nov 2014,1229.3,736.1
15 Oct 2014,1225.5,718.8
1 Oct 2014,1209.5,728.5
15 Sept 2014,1204.6,685.6
1 Sept 2014,1192,673.3
15 Aug 2014,1189.1,644.7
1 Aug 2014,1188.9,667.9
15 Jul 2014,1184.5,644.8
1 Jul 2014,1176.5,643.4
15 Jun 2014,1161,640.8
1 Jun 2014,1146.9,627.6
15 May 2014,1136.2,597.4
1 May 2014,1129.9,598.3
15 Apr 2014,1120.3,586
1 Apr 2014,1109.3,592.9
15 Mar 2014,1095.2,584.4
1 Mar 2014,1088.3,570
15 Feb 2014,1084.2,564.7
1 Feb 2014,1072.5,560
15 Jan 2014,1072.6,547.5
1 Jan 2014,1081.3,550.4
15 Dec 2013,1102.4,561.2
15 Nov 2013,1062.5,546.6
1 Nov 2013,1026,525
15 Oct 2013,1026.5,518.4
1 Oct 2013,1010,512.9
15 Sept 2013,1006.6,506.1
1 Sept 2013,989.5,503.4
15 Aug 2013,965,494.7
1 Aug 2013,948.5,483.3
1 Jul 2013,921.6,469.4
15 Jun 2013,912.5,432.3
1 Jun 2013,904.3,436.5
15 May 2013,896.5,439.8
1 May 2013,884,438.1
15 Apr 2013,878.6,434.7
1 Apr 2013,872.7,425.8
15 Mar 2013,864.8,419.1
1 Mar 2013,854.8,424.3
15 Feb 2013,844.4,427.6
1 Feb 2013,837.5,420.6
15 Jan 2013,834,412.8
1 Jan 2013,831.5,404.8
15 Dec 2012,839.9,403.7
1 Dec 2012,840.9,407
15 Nov 2012,831.1,387.2
1 Nov 2012,817.8,389.8
15 Oct 2012,810.5,380.6
1 Oct 2012,803.4,387.3
15 Sept 2012,742.8,386.3
1 Sept 2012,738.3,375.9
15 Aug 2012,748.9,375.4
1 Aug 2012,766.6,301.5
15 Jul 2012,744.6,301.7
1 Jul 2012,737.8,304.5
15 Jun 2012,723.1,297.1
1 Jun 2012,721.9,301.7
15 May 2012,718.1,292
1 May 2012,706.4,302.8
15 Apr 2012,698.6,295.7
1 Apr 2012,691.8,303.8
15 Mar 2012,690.8,293.3
1 Mar 2012,669.6,299.4
15 Feb 2012,662.4,287.9
1 Feb 2012,660.2,292.4
15 Jan 2012,659.5,295.4
1 Jan 2012,652.6,288.1
15 Dec 2011,657.6,293.8
1 Dec 2011,651.5,293.3
15 Nov 2011,633.7,293.9
1 Nov 2011,608.7,260.1
15 Oct 2011,570.1,261.7
1 Oct 2011,572.4,230.8
15 Sept 2011,565.5,223.1
1 Sept 2011,550.9,200.9
15 Aug 2011,548.8,240.3
1 Aug 2011,536.6,231.8
15 Jul 2011,549.3,233.9
1 Jul 2011,540.4,231.4
15 Jun 2011,532.4,233.4
1 Jun 2011,524.4,202.3
16 May 2011,518.9,202.5
30 Apr 2011,510.5,144.8
15 Apr 2011,515.8,
29 Mar 2011,501.9,
15 Mar 2011,496.2,
26 Feb 2011,496.8,
11 Feb 2011,483.5,
31 Jan 2011,490.7,
20 Jan 2011,484,
28 Dec 2010,481,
16 Dec 2010,487.9,
29 Nov 2010,473.1,
15 Nov 2010,467.7,